OTU ID	Bassenthwaite_01-nc.blast	Bassenthwaite_02-nc.blast	Bassenthwaite_03-nc.blast	Bassenthwaite_04-nc.blast	Bassenthwaite_05-nc.blast	Bassenthwaite_shore-01-nc.blast	Derwent_01-nc.blast	Derwent_02-nc.blast	Derwent_03-nc.blast	Derwent_04-nc.blast	Derwent_05-nc.blast	Derwent_shore-01-nc.blast	Mock-community_01-nc.blast	Mock-community_02-nc.blast	Mock-community_03-nc.blast	Mock-community_04-nc.blast	Mock-community_05-nc.blast	Mock-community_06-nc.blast	Mock-community_07-nc.blast	Mock-community_08-nc.blast	Mock-community_09-nc.blast	Mock-community_10-nc.blast	Windermere_01-nc.blast	Windermere_02-nc.blast	Windermere_03-nc.blast	Windermere_04-nc.blast	Windermere_05-nc.blast	Windermere_06-nc.blast	Windermere_07-nc.blast	Windermere_08-nc.blast	Windermere_09-nc.blast	Windermere_10-nc.blast	Windermere_11-0m-nc.blast	Windermere_11-10m-nc.blast	Windermere_11-20m-nc.blast	Windermere_11-30m-nc.blast	Windermere_11-40m-nc.blast	Windermere_11-50m-nc.blast	Windermere_11-60m-nc.blast	Windermere_12-nc.blast	Windermere_13-nc.blast	Windermere_14-nc.blast	Windermere_15-nc.blast	Windermere_16-nc.blast	Windermere_17-nc.blast	Windermere_18-nc.blast	Windermere_19-nc.blast	Windermere_20-nc.blast	Windermere_21-nc.blast	Windermere_22-nc.blast	Windermere_23-nc.blast	Windermere_24-nc.blast	Windermere_25-nc.blast	Windermere_26-nc.blast	Windermere_27-nc.blast	Windermere_28-0m-nc.blast	Windermere_28-10m-nc.blast	Windermere_28-20m-nc.blast	Windermere_28-30m-nc.blast	Windermere_28-40m-nc.blast	Windermere_29-nc.blast	Windermere_30-nc.blast	Windermere_31-nc.blast	Windermere_32-nc.blast	Windermere_33-nc.blast	Windermere_34-nc.blast	Windermere_35-nc.blast	Windermere_36-nc.blast	Windermere_37-nc.blast	Windermere_38-nc.blast	Windermere_39-nc.blast	Windermere_40-nc.blast	Windermere_41-nc.blast	Windermere_42-nc.blast	Windermere_43-nc.blast	Windermere_44-nc.blast	Windermere_45-nc.blast	Windermere_46-nc.blast	Windermere_47-nc.blast	Windermere_48-nc.blast	Windermere_49-nc.blast	Windermere_50-nc.blast	Windermere_shore-01-nc.blast	Windermere_shore-02-nc.blast	Windermere_shore-03-nc.blast	Windermere_shore-04-nc.blast	Windermere_shore-05-nc.blast	Windermere_shore-06-nc.blast	taxomomy
Rutilus rutilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	155.0	0.0	0.0	23.0	0.0	13.0	0.0	359.0	0.0	2153.0	0.0	0.0	105.0	0.0	0.0	0.0	15.0	0.0	0.0	1216.0	0.0	25.0	0.0	0.0	0.0	0.0	7.0	0.0	6927.0	3022.0	247.0	0.0	89.0	2366.0	51.0	16.0	0.0	1387.0	665.0	0.0	870.0	0.0	0.0	0.0	0.0	3.0	2411.0	0.0	0.0	0.0	2085.0	56.0	694.0	0.0	109.0	394.0	1865.0	121.0	262.0	0.0	82.0	194.0	0.0	0.0	0.0	0.0	0.0	19.0	298.0	39.0	728.0	794.0	222.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Rutilus', 's__Rutilus_rutilus']
Pseudorasbora parva	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1340.0	0.0	0.0	923.0	0.0	2158.0	7.0	11.0	185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8756.0	6.0	0.0	0.0	0.0	0.0	0.0	5.0	18577.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Pseudorasbora', 's__Pseudorasbora_parva']
Alburnus alburnus	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	1860.0	765.0	0.0	0.0	2232.0	136.0	70.0	8.0	96.0	7615.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Alburnus', 's__Alburnus_alburnus']
Gymnocephalus cernua	20.0	1689.0	5980.0	2288.0	3817.0	5160.0	783.0	0.0	0.0	0.0	6.0	12.0	3.0	2851.0	3123.0	5646.0	0.0	0.0	5306.0	7071.0	510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae', 'g__Gymnocephalus', 's__Gymnocephalus_cernua']
Scardinius erythrophthalmus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	30.0	7.0	0.0	3.0	0.0	38.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Scardinius', 's__Scardinius_erythrophthalmus']
Leucaspius delineatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	10.0	8216.0	0.0	0.0	0.0	0.0	7624.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leucaspius', 's__Leucaspius_delineatus']
Phoxinus phoxinus	0.0	0.0	0.0	7.0	328.0	25.0	0.0	0.0	0.0	0.0	47.0	0.0	3.0	3.0	2307.0	2295.0	0.0	0.0	0.0	138.0	3130.0	0.0	0.0	166.0	249.0	0.0	0.0	29.0	508.0	2823.0	46.0	0.0	0.0	2601.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2985.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	519.0	41.0	149.0	0.0	0.0	105.0	0.0	0.0	314.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Phoxinus', 's__Phoxinus_phoxinus']
Leuciscus leuciscus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	93.0	0.0	34.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leuciscus', 's__Leuciscus_leuciscus']
Gasterosteus aculeatus	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1195.0	2066.0	0.0	51.0	0.0	656.0	0.0	4662.0	2005.0	78.0	0.0	0.0	4267.0	0.0	0.0	1307.0	0.0	0.0	0.0	389.0	0.0	0.0	0.0	1698.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	957.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2733.0	2740.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Gasterosteus', 's__Gasterosteus_aculeatus']
Umbra pygmaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	1788.0	10.0	4827.0	13.0	26.0	860.0	13.0	12943.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Umbridae', 'g__Umbra', 's__Umbra_pygmaea']
Anguilla anguilla	0.0	0.0	0.0	0.0	0.0	5568.0	0.0	0.0	0.0	0.0	0.0	430.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1548.0	0.0	0.0	324.0	0.0	3.0	2094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4278.0	0.0	0.0	0.0	0.0	1046.0	0.0	1315.0	4779.0	0.0	22.0	0.0	19114.0	1319.0	0.0	1372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1704.0	0.0	0.0	1038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3801.0	1549.0	245.0	0.0	925.0	2388.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes', 'f__Anguillidae', 'g__Anguilla', 's__Anguilla_anguilla']
Cyprinus carpio	0.0	5.0	0.0	0.0	7.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	7059.0	9349.0	80.0	180.0	16713.0	2874.0	4030.0	314.0	442.0	17813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1740.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Cyprinus', 's__Cyprinus_carpio']
Esox lucius	0.0	0.0	165.0	4.0	10.0	511.0	58.0	0.0	0.0	0.0	3.0	427.0	2467.0	16.0	4642.0	9733.0	0.0	60.0	16.0	4784.0	6859.0	3.0	0.0	0.0	56.0	921.0	0.0	1605.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1940.0	0.0	144.0	89.0	84.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1407.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	33.0	5379.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5979.0	1534.0	286.0	0.0	3790.0	2076.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Esocidae', 'g__Esox', 's__Esox_lucius']
Salmo salar	482.0	24.0	638.0	1116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	866.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	104.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_salar']
Salmo trutta	27.0	9.0	2256.0	56.0	3276.0	611.0	0.0	0.0	0.0	54.0	3.0	0.0	6.0	10.0	1919.0	1653.0	0.0	0.0	7.0	3744.0	2566.0	0.0	1481.0	2150.0	349.0	4111.0	2887.0	276.0	0.0	3059.0	0.0	563.0	140.0	2868.0	0.0	0.0	0.0	3270.0	756.0	0.0	0.0	3.0	0.0	0.0	140.0	0.0	0.0	1819.0	0.0	4118.0	0.0	814.0	320.0	2955.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6756.0	0.0	0.0	0.0	0.0	0.0	238.0	317.0	3552.0	1096.0	94.0	0.0	0.0	1524.0	0.0	0.0	58.0	3513.0	339.0	2846.0	1068.0	618.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_trutta']
